NY0001	spros brol don gsal chen po'i rgyud
NY0002	rtse rgyal nam mkha' 'bar ba'i rgyud
NY0003	nyi zla bkod pa nam mkha'i mtha' dang mnyam pa'i rgyud
NY0004	nam mkha' 'brug sgrogs thog babs klong 'dus spyi rgyal rgya mdud kyi rgyud
NY0005	lta ba la shan chen po rin chen sgron ma rtsa ba'i rgyud
NY0006	rtsa rlung thig le'i rgyud
NY0007	rtsa rlung gi rtsa ba
NY0008	srog gi 'khor lo'i rgyud
NY0009	lta ba thal gyi rgyud
NY0010	snang byed spu gri'i rgyud
NY0011	'bras bu ye grol chen po'i rgyud
NY0012	yang ti nag po'i rgyud
NY0013	rgyud kyi rtse rgyal nyi zla 'od 'bar mkha' klong rnam dag rgya mthso klong gsal kyi rgyud
NY0014	rdo rje sems dpa' yi ge brgya pa dbang mchog rgyal po'i rgyud
NY0015	yi ge brgya pa'i dbang mchog rgyal po'i rgyud
NY0016	rdo rje sems dpa' yi ge brgya pa'i thugs phrin las thams cad dam tshig gi rgyud
NY0017	rdzogs pa chen po nges don 'dus pa'i rgyud
NY0018	rdzogs pa chen po rin po che 'khor ba rtsad gcod
NY0019	rdzogs pa chen po 'khor ba rtsad nas gcod pa chos sku skye med rig pa'i rgyud
NY0020	rdzogs pa chen po lta ba'i yang snying sangs rgyas thams cad kyi dgongs pa nam mkha' klong yangs kyi rgyud
NY0021	rdzogs pa chen po sangs rgyas thams cad kyi dgongs pa chos sku gcig tu 'dus par bka' bgros pa'i don rin po che yon tan kun 'byung gi rgyud
NY0022	rdzogs pa chen po don 'dus rang byung bde ba'i 'khor lo'i rgyud
NY0023	kun tu bzang po ye shes klong gi rgyud
NY0024	rdzogs pa chen po nges don thams cad 'dus pa ye shes nam mkha' dang mnyam pa'i rgyud
NY0025	rdzogs pa chen po don 'dus rig pa'i gsung rang byung bde ba'i 'khor lo'i rgyud
NY0026	rdzogs pa chen po ye shes gting nas rdzogs pa'i rgyud
NY0027	rdzogs pa chen po lta ba thams cad kyi snying po'i rgyud
NY0028	rdzogs pa chen po kun tu bzang po ye shes gsal bar ston pa'i rgyud
NY0029	rdzogs pa chen po kun tu bzang po ye shes gsal bar ston pa'i rgyud phyi ma
NY0030	rdzogs pa chen po ye shes gsal bar ston pa'i rgyud phyi ma'i phyi ma
NY0031	ye shes 'khor lo'i rgyud
NY0032	rdzogs pa chen po ye shes 'khor lo gsang ba thugs kyi rgyud
NY0033	'jam dpal 'dus pa'i rgyud
NY0034	'phags pa spyan ras gzigs ting nge 'dzin rtse gcig gi rgyud
NY0035	snang srid kha sbyor bdud rtsi bcud thigs 'khor ba thog mtha' gcod pa'i rgyud
NY0036	rin po che bcud kyi yang snying spros gcod rtsa ba'i rgyud
NY0037	spros pa gcod pa sde lnga'i rgyud
NY0038	rin po che bdud rtsi bcud thigs kyi rgyud
NY0039	rin po che snang gsal spu gri 'br bas 'khrul snang rtsad nas gcod pa nam mkha' dang mnyam pa'i rgyud
NY0040	rin po che spyi gnad skyon sel thig le kun 'dus kyi rgyud
NY0041	gter snying rin po che spungs pa'i rgyud
NY0042	thig le ye shes bcud spungs sgron ma 'od 'bar ba'r rgyud
NY0043	bdud rtsi bcud thigs sgron ma brtsegs pa'i rgyud
NY0044	snying po bcud spungs nam mkha' klong yangs kyi rgyud
NY0045	ma rig mun sel nyi zla 'bar ba'i rgyud
NY0046	sangs rgyas kun gyi dgongs pa'i bcud bsdus ri bo brtsegs pa'i rgyud
NY0047	dri med ka dag gi rgyud
NY0048	nyi zla'i snying po 'od 'bar ba bdud rtsi'i rgya mtsho'i 'khyil pa'i rgyud
NY0049	skye med ka dag zang ka'i rgyud
NY0050	rdzogs pa rang byung chen po'i rgyud
NY0051	yi ge med pa'i rgyud chen po
NY0052	rig pa rang shar chen po'i rgyud
NY0053	rig pa rang grol che po'i rgyud
NY0054	rin chen spungs pa'i rgyud kyi rgyal po
NY0055	dpal nam mkha' med p'ai rgyud rin po che sku gdung 'bar ba'i rgyud
NY0056	rin po che 'byung bar byed pa sgra thal 'gyur chen po'i rgyud
NY0057	bkra shis mdzes ldan dpal nam mkha' med pa'i rgyud
NY0058	gsang ba'i rgyud chen po
NY0059	kun tu bzang po thugs kyi me long gi rgyud
NY0060	ngo sprod rin po che sprad pa'i rgyud
NY0061	mu tig rin po che phreng ba'i rgyud
NY0062	kun tu bzang po klong drug pa'i rgyud
NY0063	gser gyi me tog mdzes pa rin po che sgron ma 'bar ba'i rgyud
NY0064	nyi zla kha sbyor gsang ba chen po'i rgyud
NY0065	seng ge rtsal rdzogs chen po'i rgyud
NY0066	nor bu phra bkod chen po'i rgyud gsang ba
NY0067	rgyud kyi khog snying sdeb pa
NY0068	thig le kun gsal chen po'i rgyud
NY0069	ye shes mar me'i rgyud
NY0070	sangs rgyas rdo rje sems dpa'i dgongs pa tshig sgum pa zhes bya b'i rgyud
NY0071	thig le kun 'dus chen po
NY0072	sku'i rgyud pad ma 'khyil ba
NY0074	rdo rje rtse mo 'dus pa'i rgyud
NY0075	ye shes bla ma chen po'i rgyud
NY0076	byang chub kyi sems rgyal mtshan rtse mo'i rgyud
NY0077	rdzogs pa chen po thig le gsang ba'i nges rgyud
NY0078	'khor ba gdong sbrug chen po'i rgyud
NY0079	rin po che srid pa bar ma do snang ba'i rgyud
NY0080	lha ma yin gyul ngo bzlog pa'i rgyud
NY0081	thal ba nag po'i rgyud
NY0082	lha rgyud rin chen spungs pa
NY0083	'phags pa 'jam dpal gyi bshad rgyud rin po che'i phreng ba
NY0084	'jam dpal dgongs pa 'dus pa gsang snags chen po'i rgyud
NY0085	dur khrod phung po 'bar ba'i man ngag gi rgyud
NY0086	rdo rje yang rtse'i rgyud
NY0087	rdo rje yang tog snying po'i rgyud
NY0088	snying po rdo rje rin po che thams cad gcig pa'i rgyud
NY0089	dam tshig bkod pa sa gzhi'i rgyud
NY0090	'byung po kun 'dul gyi rgyud
NY0091	dbang rin po che 'khor lo'i rgyud
NY0092	rdo rje gsang ba chen po'i sku rin po che dbyig gi sgron ma shes rab chen po'i mdo
NY0093	klong chen rab 'byams rgyal po'i rgyud
NY0094	kun tu bzang po nam mkha' che rtsa ba bsdus pa'i rgyud
NY0095	kun tu bzang po rig pa rang gi rtsal shar ba'i rgyud
NY0096	gdams ngag sna tshogs 'khor lo'i rgyud phyi ma
NY0097	rin po che 'phags lam bkod pa'i rgyud
NY0098	rdo rj sems dpa' nam mkha'i mtha' dang mnyam pa'i rgyud
NY0099	ye shes gsang ba sgron ma rin po che man ngag gi rgyud
NY0100	rin po 'khor lo'i rgyud
NY0101	ye shes gsang ba zhes bya ba'i rgyud
NY0102	bayng chub kyi sems ye shes rdzogs pa'i rgyud
NY0103	rdzogs pa chen po chos nyid byang chub kyi sems kun la 'jug pa rnam dag ston pa'i rgyud
NY0104	byang chub kyi sems rdo rje 'od 'phro ba'i rgyud
NY0105	byang chub kyi sems kun byed rgyal po
NY0106	chos thams cad rdzogs pa chen po byang chub kyi sems su 'dus pa'i mdo
NY0107	nam mkha' dang mnyam pa'i yi ge med pa'i rgyud
NY0108	chos thams cad rgya mtsho'i mtha' dang mnyam pa rnyog pa med pa'i rgyud
NY0109	chos thams cad rig pa nyi zla'i mtha' dang mnyam pa dri ma med pa'i rgyud
NY0110	spyod pa nyi zla dang mnyam pa'i rgyud kyi dka' 'grel rin po che snang ba'i 'od zer
NY0111	chos thams cad rin po che dang mnyam pa skye ba med pa'i rgyud
NY0112	byang chub sems rtsal chen gyi rgyud
NY0113	byang chub sems khyung chen gyi rgyud
NY0114	rdo rje sems dpa' nam mkha' che rgyas pa yi ge med pa'i rgyud
NY0115	rgyud kyi rgyal po gser gyi rus sbal rdo rje theg pa rtsa ba'i rgyud
NY0116	byang chub kyi sems rdzogs pa chen po ye shes bdun 'byung ba'i rgyud
NY0117	rdzogs pa chen po chos nyid byang chub kyi sems bkra shis mi 'gyur bar gsal bar gnas pa 'jug pa'i rgyud
NY0118	bang mdzod 'phrul gyi lde'u mig
NY0119	yang byed 'phrul gyi lde'u mig
NY0120	byang chub kyi sems rin chen 'khor lo zhes bya ba'i rgyud
NY0120B	'khor lo rdo rje ces bya ba'i rgyud
NY0121	chos chen po rmasd du byung ba'i rgyud
NY0121B	rin po che snang byed kyi rgyud
NY0122	rdzogs pa chen po chos nyid byang chub kyi smes rin chen bkod pa rnam par dbye ba'i rgyud
NY0123	byang chub kyi smes rmad du byung ba
NY0124	byang chub kyi smes rmad du byung ba'i rgyud
NY0125	bkra shis dpal rig pa'i khu byug
NY0126	rdzogs pa chen po lta ba ye shes gting zab kyi rgyud
NY0127	rdo rje sems dpa' nam mkha' ceh snying po rnal ma don gyi rgyud
NY0128	byang chub kyi smes sgom pa'i rgyud
NY0129	byang chub kyi sems sgom pa rdo la ser zhun
NY0130	thus kyi rgyud rin po che spungs pa'i rgyan
NY0131	gsang ba spyi rgyud
NY0132	rin po che rgyas pa chen po'i rgyud
NY0133	gsang sngags thams cad kyi lam mchog 'dus pa'i rgyud
NY0134	kun 'dus rig pa'i mdo
NY0135	sangs rgyas kun gyi dgonfs pa 'dus pa
NY0136	khu byug rol pa'i rgyud
NY0137	kun tu bzang po che ba rang la gnas pa'i rgyud
NY0138	dbang gi rgyal po dbang skur rgyal po'i rgyud
NY0139	zhi ba lha rgyud chen po
NY0140	chos nyid zhi ba'i lha rgyud
NY0141	khro bo lha rgyud chen mo
NY0142	khro bo lha rgyud kyi rtog pa chen po
NY0143	gtor rgyud chen po
NY0144	tshogs rgyud chen po
NY0145	dpal 'bar khro mo'i rgyud
NY0146	rak ta dmar gyi rgyud
NY0147	me lha zhi bar gyur ba 'bar ba'i rgyud
NY0148	bya ba'i rgyud chen po
NY0149	gsang ba'i snying po de kho na nyid nges pa
NY0150	gsang ba'i snying po de kho na nyid nges pa
NY0151	gsang ba'i snying po de kho na nyid bstan pa
NY0152	sgyu 'phrul rgya mtsho'i rgyud chen po
NY0153	lha mo sgyu 'phrul drwa ba chen mo zhes bya ba'i rgyud
NY0154	gsang ba'i snying po de kho na nyid nges pa'i bla ma chen po
NY0155	dpal gsang ba'i snying po de kho na nyid rnam par nges pa
NY0156	rdo rje sems dpa'i sgyu 'phrul drwa ba gsang ba thams cad kyi me long
NY0157	gsang ba'i snying po de kho na nyid nges pa
NY0158	sgyu 'phrul thal ba'i rgyud chen po
NY0159	khro bo stobs kyi rnal 'byor dbang phyug grub pa'i sgyu 'phrul dra ba'i rgyud
NY0160	ba spyod man ngag gi snying po
NY0161	dpal mchog dang po zhes bya ba theg pa chen po'i rtog pa'i rgyud
NY0162	sangs rgyas thams cad dang mnyam par sbyor ba mkha' 'gro sgyu ma bde ba'i mchog ces bya ba'i rtog pa
NY0163	sangs rgyas thams cad dang mnyam par sbyor ba'i mkha' 'gro sgyu ma bde ba'i mchog ces bya ba khri brgyad stong pa las rtog pa thams cad kyi rgyal po brgyad cu bdun pa
NY0164	zla gsang thig le
NY0165	gsang ba 'dus pa
NY0166	dpal mchog dang po'i sngags kyi dum bu
NY0167	rgyud kyi rgyal po chen po las kyi phreng ba
NY0168	de bzhin gshegs pa thams cad kyi dgongs pa bla na med pa
NY0169	dpal he ru ka snying rje'i rol pa'i mchog gsang ba zab mo'i rgyud
NY0170	rgyud kyi rgyal po chen po dpal rtsi rol pa
NY0171	phur pa bcu gnyis kyi rgyud ces bya ba theg pa chen po'i mdo
NY0172	glang po rab 'bog gi rgyud
NY0173	'phags pa thabs kyi zhags pa pad mo phreng
NY0174	bshags pa thams cad kyi rgyud dri ma med pa'i rgyal po
NY0175	rdo rje gzi ldan 'bar ba'i rgyud
NY0176	rgyud kyi rgyal po pad sdong brtsegs pa
NY0177	bla ma yi dam mkha' 'gro thams cad kyi sku rgyud shel gyi ri bo rnam par bkod pa
NY0178	bla ma yi dam mka' 'gro thams cad kyi gsung rgyud rin chen 'brug sgra
NY0179	bla ma yi dam mka' 'gro thams cad kyi thugs rgyud nam mkha'i klong yangs
NY0180	bla ma yi dam mkha' 'gro thams cad kyi yon tan kyi rgyud bstan pa'i srog shing
NY0181	bla ma yi dam mkha' 'gro thams cad kyi phrin las kyi rgyud spu gri reg gcod
NY0182	bla ma'i gsang rgyud bka'i bang mdzod
NY0183	yi dam gyi rgyud bka'i tha ram
NY0184	mkha' 'gro'i gsang rgyud bka'i lde mig
NY0185	gsang ba gcod pa sa bon gyi rgyud
NY0186	bde bar gshegs pa thams cad 'dus pa'i rgyud
NY0187	bcom ldan 'das bde bar gshegs pa thams cad 'dus pa phyi ma'i rgyud
NY0188	bde gshegs 'dus pa'i sngags rgyud
NY0189	bde bar gshegs pa thams cad 'dus pa'i rgyud rab tu 'byed pa'i lde mig
NY0190	bde bzhin gshegs pa zhi ba thams cad 'dus pa rtsa ba'i rgyud chen po
NY0191	dpal khrag 'thung 'dus pa rtsa ba'i rgyud
NY0192	gshin rje gshed rab tu 'dus pa rtsa ba'i rgyud
NY0193	bcom ldan 'das dbang chen 'dus pa rtsa ba'i rgyud
NY0194	bcom ldan 'das bde bar gshegs pa thams cad kyi phrin las 'dus pa phur pa rtsa ba'i rgyud
NY0195	m mo 'dus pa rtsa ba'i rgyud
NY0196	rig pa 'dzin pa 'dus pa rtsa ba'i rgyud
NY0197	'jig rten mchod bstod sgrub pa rtsa ba'i rgyud
NY0198	drag sngags rdo rje 'dus pa rtsa ba'i rgyud
NY0199	bde gshegs 'dus pa'i rgyud
NY0200	dpal gsang ba 'dus pa rgyud kyi rgyal po
NY0201	dpal zla gsang nag po'i rgyud
NY0202	dpal zla gsang nag po rtsa ba'i rgyud
NY0203	'jam dpal gshin rje'i gshed kyi gsang rgyud
NY0204	dpal zla gsang nag po'i rgyud
NY0205	dpal drag sngags zla gsang nag po bshan pa spu gri'i rgyud
NY0206	dpal drag sngags zla gsang nag po'i rgyud
NY0207	'phags pa 'jam dpal dri ma med pa'i gsang ba'i rgyud
NY0208	dpal gshin rje nag po me rlung skyi 'dang 'khrugs pa rgyud kyi rgyal po
NY0209	'phags pa 'jam dpal gshin rje gshed nag po chen po gsang ba'i rgyud
NY0210	'phags pa 'jam dpal gsang ba'i rgyud kyi rgyal po
NY0211	dpal tshe bdag nag po'i phrin las kyi dgongs pa thams cad rdzogs pa'i rgyud chen po
NY0212	'jam dpal gshin rje 'khrul 'khor nag po sdig pa snying 'dzings gsang ba'i rgyud
NY0213	drag po'i sngags rgod sdig pa snying 'dzings kyi rgyud
NY0214	drag sngags mtshon cha nag po'i rgyud
NY0215	dpal tshe bdag nag po'i rgyud
NY0216	'phags pa 'jam dpal las bzhi 'khor lo gsang ba'i rgyud
NY0217	'phags pa 'jam dpal gshin rje'i rgyal po sdig pa stobs chen gsang ba'i rgyud
NY0218	gshin rje nag po gsang ba de kho na nyid kyi rgyud kha thun
NY0219	gshin rje nag po kha thun gsang ba de kho na nyid phyi ma'i rgyud
NY0220	dpal tshe bdag nag po drag sngags mngon du phyung ba'i rgyud kyi rgyal po
NY0221	'jam dpal khro bo snying gzer gsang ba'i rgyud
NY0222	drag po phung byed kyi rgyud
NY0223	'jig rten gsum gyi shes pa bsgral ba'i rgyud
NY0224	de bzhin gshegs pa thams cad dgongs pa khro bo 'dus pa'i rgyud
NY0225	gshin rje nag po chu thig sngon ma'i rgyud
NY0226	gnod sbying dgong gsum pa'i rgyud
NY0227	gshin rje nag po ngan sngags phyir bzlog pa'i rgyud
NY0228	'phags pa 'jam dpal mched bzhi'i sngags rgyud
NY0229	'jam dpal gshin rje'i ma ru tse'i sngags rgyud bstan pa
NY0230	dpal tshe bdag nag po'i phrin las kyi dgongs pa thmas cad rdzogs pa'i rgyud chen po
NY0231	'jam dpal gzhin rje 'khrul 'khor nag po sdig pa snying 'dzings gsang ba'i rgyud
NY0232	drag po'i sngags rgod sdig pa snying 'dzings kyi rgyud
NY0233	drag sngags mtshon cha nag po'i rgyud
NY0234	dpal tshe bdag nag po'i rgyud
NY0235	'phags pa 'jam dpal las bzhi 'khor lo gsang ba'i rgyud
NY0236	'phags pa 'jam dpal gshin rje'i rgyal po sdig pa stobs chen gsang ba'i rgyud
NY0237	gshin rje nag po gsang ba de kho na nyid kyi rgyud
NY0238	gshin rje nag po kha thun gsang ba de kho na nyid phyi ma'i rgyud
NY0239	dpal tshe bdag nag po drag sngags mngon du phyung ba'i rgyud
NY0240	'jam dpal khro bo snying fzer gsang ba'i rgyud
NY0241	drag po phung byed kyi rgyud
NY0242	'jig rten gsum gyi shes pa bsgral ba'i rgyud
NY0243	bde bzhin gshegs pa thams cad dgongs pa khro bo 'dus pa'i rgyud
NY0244	gshin rje'i nag po chu thig sngon mo'i rgyud
NY0245	gnod sbyin gdong gsum pa'i rgyud
NY0246	gshin rje'i nag po ngan sngags phyir bzlog pa'i rgyud
NY0247	'phags pa 'jam dpal mched bzhi'i sngags rgyud
NY0248	'jam dpal gshin rje'i ma ru tse'i sngags rgyud
NY0249	rta mchog rol pa'i rgyud
NY0250	dbang rgyas rta mchog rol pa'i rgyud
NY0251	dpal pad ma dbang chen dregs pa srung bzlog yon tan gyi rgyud
NY0252	pad ma dbang chen dregs pa gzan 'bebs kyi rgyud
NY0253	dpal pad ma dbang chen dregs pa gnad 'bebs kyi rgyud
NY0254	dbang chen dregs pa dbang sdus kyi rgyud
NY0255	dbang chen 'dus pa'i rgyud
NY0256	dbang chen bsdus pa'i rgyud
NY0257	pad ma dbang chen bde gshegs 'dus pa'i rgyud
NY0258	dpal rta mgrin las rgyud
NY0259	dpal pad ma dbang chen dregs pa tshar gcod gyi rgyud
NY0260	pad ma dbang chen yang gsang khros pa'i rgyud
NY0261	dpal rta mgrin gsang ba phrin las kyi rgyud
NY0262	phyir bzlog pa stobs chen rta mgrin gyi rgyud
NY0263	klu 'dul ba zhes bya ba'i rgyud
NY0264	dpal he ru ka'i thugs kyi rgyud rgyal po
NY0265	dpal khrag thung gal po
NY0266	rdo rje rigs kyi sgrub lugs
NY0267	de bzhin rigs kyi sgrub thabs gsang ba me dpung thugs kyi rgyud
NY0268	thams cad bdud rtsi lnga'i rang bzhin dngos grub chen po nye ba'i snying po mchog
NY0269	thams cad bud rtsi lnga'i rang bzhin
NY0270	bdud rtsi rin po che ye shes gsang ba 'khor lo'i rgyud
NY0271	bdud rtsi chen po 'khor lo 'bar ba'i rgyud
NY0272	rin po che phreng ba'i rgyud
NY0273	bdud rtsi bde ba chen po'i rgyud
NY0274	thams cad bdud rtsi lnga'i rang bzhin 'khrungs shing skye bar byed pa'i 'bras bu rin po che 'od ltar 'bar ba'i rgyud
NY0275	bdud rtsi las rgya mtsho'i rgyud
NY0276	thams cad bdud rtsi lnga'i rang bzhin dngos grub chen po nye ba'i snying po mchog
NY0277	bdud rtsi chen po chos nyid gsang ba'i rgyud
NY0278	sangs rgyas thams cad kyi bdud rtsi ye shes 'od ldan gyi rgyud
NY0279	rdo rje khros pa phur pa rtsa ba'i rgyud
NY0280	dpal rdo rje gzhon nu thugs rje khros pa rtsa ba'i rgyud kyi bshad pa
